title,genre,popularity,vote_average,vote_count
Wheels on Meals,"Romance,Action,Comedy,Crime",19.549,7.0,282
Love Hurts,"Drama,Romance",26.541,7.6,204
Juno,"Comedy,Drama,Romance",15.327,7.0,6187
Tom and Jerry Cowboy Up!,"Animation,Comedy,Family,Western",249.664,6.9,364
My Neighbors the Yamadas,"Animation,Family",13.545,7.0,378
The Ice Age Adventures of Buck Wild,"Animation,Comedy,Adventure,Family",509.386,6.8,1303
The One,"Action,Science Fiction,Thriller",25.4,6.1,1259
The Medallion,"Thriller,Fantasy,Action,Comedy",17.18,5.6,873
Grumpy Old Men,Comedy,9.827,6.6,508
Lost Girls,"Drama,Mystery,Thriller,History",10.803,6.1,571
A Walk in the Clouds,"Drama,Romance",17.996,7.2,753
The Death & Life of John F. Donovan,Drama,7.876,7.0,615
Rock Star,"Music,Drama,Comedy",17.492,6.7,605
Spun,"Comedy,Crime,Drama",10.065,6.5,352
Snakes on a Plane,"Action,Crime,Thriller,Horror",20.882,5.4,1423
Tora! Tora! Tora!,"Drama,History,War",11.876,7.2,402
Zombieland: Double Tap,"Horror,Comedy",77.723,7.0,4577
Moonfall,"Science Fiction,Adventure,Action",547.1,6.5,1541
Grabbers,"Science Fiction,Comedy,Thriller,Horror,Mystery",9.13,6.1,348
Your Sister's Sister,Comedy,6.041,6.5,274
The Flight of the Phoenix,Adventure,10.614,7.2,237
"Run, Fatboy, Run","Comedy,Romance",10.083,6.1,543
Ooops! Noah Is Gone...,"Animation,Adventure,Comedy,Family",20.922,6.3,256
X+Y,Drama,11.619,6.7,470
Priest,"Horror,Action,Thriller",31.23,5.7,1891
A Good Day to Die Hard,"Action,Thriller",54.388,5.3,5619
Frequency,"Science Fiction,Thriller",18.817,7.2,1371
Pacific Heights,Thriller,9.424,6.3,269
The Brothers Grimm,"Adventure,Fantasy,Action,Comedy,Thriller",28.071,5.8,2330
Judgment at Nuremberg,"Drama,History,War",12.291,8.1,569
Hannah and Her Sisters,"Comedy,Drama",8.135,7.6,789
I'm Not There,"Drama,Music",9.156,6.6,553
The Siege of Jadotville,"War,Drama,Thriller",14.391,7.2,718
Gandhi,"Drama,History",10.513,7.5,1897
Robot Chicken: Star Wars,"Animation,Comedy,Science Fiction",10.66,7.2,204
The Piano Teacher,"Drama,Romance",13.096,7.3,825
Fabricated City,"Action,Thriller,Crime",15.89,7.8,257
Misbehaviour,"Drama,History,Comedy",10.04,6.4,205
Blade,"Horror,Action",50.193,6.7,4862
School for Scoundrels,"Comedy,Drama,Romance",7.491,5.4,280
The Trip Across Paris,Comedy,4.735,7.2,212
The Darjeeling Limited,"Adventure,Drama,Comedy",11.56,7.2,2853
The Prestige,"Drama,Mystery,Science Fiction",32.168,8.2,13217
My First Time,"Drama,Romance",5.705,6.6,509
"The Cook, the Thief, His Wife & Her Lover","Crime,Drama",12.649,7.4,456
Touch of Evil,"Crime,Thriller",9.267,7.8,1132
XOXO,"Music,Drama",16.535,6.0,557
Journey 2: The Mysterious Island,"Adventure,Action,Science Fiction",145.581,6.1,3587
Christmas with a View,"Romance,Family,TV Movie",9.326,5.8,265
Le Havre,"Drama,Comedy",7.558,7.0,311
Ultimate Avengers: The Movie,"Action,Animation,Family,Adventure,Science Fiction",29.448,6.8,280
James and the Giant Peach,"Adventure,Animation,Family,Fantasy",16.594,6.5,1070
Unknown Origins,"Drama,Thriller",8.731,6.1,334
Joe Dirt,"Mystery,Adventure,Comedy,Romance,Drama",13.017,5.5,595
The Addams Family 2,"Animation,Adventure,Comedy,Family",232.415,7.1,899
Z,"Drama,History,Thriller",10.477,7.9,321
Manhattan Murder Mystery,"Comedy,Mystery",7.894,7.3,856
Bound,"Drama,Thriller",14.582,7.1,676
The Flu,"Action,Drama,Science Fiction",59.583,7.5,977
Barefoot in the Park,"Comedy,Romance",8.752,7.1,484
The Guilty,"Drama,Thriller",35.715,6.4,1785
The Hangover Part III,Comedy,94.103,6.2,7460
Project X,Comedy,129.159,6.8,5264
Dragon Ball Z: The History of Trunks,"Animation,Action,Science Fiction",92.549,7.5,426
Where Is My Friend's House?,"Drama,Family",7.118,8.0,211
I Can Quit Whenever I Want,Comedy,6.703,7.4,1637
Next Gen,"Animation,Action,Adventure,Family",22.936,7.0,620
The War of the Worlds,"Science Fiction,Action",12.202,6.8,474
Thirteen Days,"Drama,History,Thriller",8.127,7.0,570
Universal Soldier: Day of Reckoning,"Action,Science Fiction,Thriller",25.468,5.5,337
Guns Akimbo,"Comedy,Action",20.826,6.5,1759
Departures,Drama,9.363,7.9,635
Bugsy Malone,"Drama,Action,Comedy,Music,Family",7.895,6.6,212
Marrowbone,"Thriller,Horror,Drama,Mystery",15.046,7.2,1130
Overboard,"Romance,Comedy",52.272,6.7,1191
Bad Education,"Drama,Crime,History,TV Movie",10.393,6.8,521
Last Chance Harvey,"Drama,Comedy,Romance",6.903,6.2,213
The Vanished,Thriller,14.671,6.0,217
The Tall Blond Man with One Black Shoe,"Comedy,Mystery",7.442,7.0,327
Zindagi Na Milegi Dobara,"Drama,Comedy,Romance",5.723,7.6,260
Rocky IV,Drama,49.37,7.0,3501
My Mom is a Character 2,Comedy,5.939,7.7,450
Under the Silver Lake,"Crime,Drama,Mystery",13.973,6.4,994
The King's Speech,"Drama,History",17.692,7.7,7518
Cat People,Horror,8.878,6.1,368
Till Luck Do Us Part,Comedy,6.806,6.4,264
Keeping the Faith,"Comedy,Romance",7.097,6.1,504
12 Rounds 2: Reloaded,"Action,Adventure",9.518,5.5,229
Patrick,"Family,Comedy",8.19,6.8,201
Arizona Dream,"Fantasy,Comedy,Drama,Romance",7.276,7.2,542
Malice,Thriller,10.594,6.2,349
Crank: High Voltage,"Action,Thriller,Crime",110.485,6.0,2286
Teenage Mutant Ninja Turtles,"Science Fiction,Action,Adventure,Comedy",125.076,5.9,5929
The Warlords,"Action,Drama,History",13.242,6.7,236
Man of the House,"Comedy,Action",11.974,5.7,385
The Rookie,"Action,Crime,Drama,Thriller",11.551,5.9,417
Violet Evergarden: The Movie,"Animation,Fantasy,Romance,Drama",23.933,8.5,251
Killing Me Softly,Thriller,14.008,5.5,234
Loving,"Drama,Romance",14.409,6.7,805
"The Adventures of Priscilla, Queen of the Desert","Drama,Comedy",9.206,7.3,606
The Purple Rose of Cairo,"Fantasy,Comedy,Romance",10.014,7.4,797
Salt,"Action,Mystery,Thriller",58.286,6.4,4638
The Cat Returns,"Adventure,Fantasy,Animation,Drama,Family",34.124,7.2,1467
Alien: Covenant,"Horror,Science Fiction,Mystery",80.144,6.1,7181
The Shape of Water,"Drama,Fantasy,Romance",37.864,7.2,10729
